gml_id,fonte,comune_istat,area_m2,n_px,strip,sr_coastalblue,sr_blue,sr_greeni,sr_green,sr_yellow,sr_red,sr_rededge,sr_nir,ndvi
Mappatura_2020.5300,Mappatura_2020,03108019,230.9,27,20260512_101812_73_2553_3B,0.07060000000000001,0.0862,0.1033,0.1078,0.109,0.1091,0.1292,0.231,0.3584
Mappatura_2020.5301,Mappatura_2020,03108019,411.9,45,20260512_101812_73_2553_3B,0.1857,0.2364,0.2702,0.2674,0.25980000000000003,0.2932,0.27690000000000003,0.3074,0.0236
Mappatura_2020.5302,Mappatura_2020,03108019,102.1,11,20260512_101812_73_2553_3B,0.0781,0.1043,0.1273,0.1308,0.1297,0.14730000000000001,0.16110000000000002,0.2621,0.2804
Mappatura_2020.5303,Mappatura_2020,03108019,161.1,19,20260512_101812_73_2553_3B,0.0585,0.0716,0.08700000000000001,0.0873,0.0952,0.09280000000000001,0.1197,0.2217,0.4099
Mappatura_2020.5308,Mappatura_2020,03108019,2168.7,241,20260512_101812_73_2553_3B,0.0714,0.0843,0.09970000000000001,0.1023,0.10640000000000001,0.1102,0.12250000000000001,0.2044,0.2994
Mappatura_2020.5309,Mappatura_2020,03108019,1869.2,209,20260512_101812_73_2553_3B,0.1345,0.1506,0.17550000000000002,0.1814,0.192,0.1983,0.2121,0.26330000000000003,0.1408
Mappatura_2020.5312,Mappatura_2020,03108019,314.5,33,20260512_101812_73_2553_3B,0.07390000000000001,0.0926,0.1061,0.1082,0.11030000000000001,0.11670000000000001,0.1277,0.1925,0.2451
Mappatura_2020.5313,Mappatura_2020,03108019,311.1,36,20260512_101812_73_2553_3B,0.0833,0.10265,0.1179,0.1206,0.12190000000000001,0.13135,0.1398,0.22515000000000002,0.2631
Mappatura_2020.5319,Mappatura_2020,03108019,659.6,73,20260512_101812_73_2553_3B,0.0716,0.09050000000000001,0.10300000000000001,0.1062,0.10880000000000001,0.11610000000000001,0.12480000000000001,0.21230000000000002,0.2929
Mappatura_2020.5320,Mappatura_2020,03108019,60.1,8,20260512_101812_73_2553_3B,0.07065,0.08900000000000001,0.1052,0.10835,0.1102,0.1125,0.12855,0.20600000000000002,0.2936
Mappatura_2020.5322,Mappatura_2020,03108019,696.9,78,20260512_101812_73_2553_3B,0.14685,0.17105,0.1935,0.19765000000000002,0.20720000000000002,0.2131,0.21685000000000001,0.26025000000000004,0.0996
Mappatura_2020.5323,Mappatura_2020,03108019,86.9,10,20260512_101812_73_2553_3B,0.14780000000000001,0.20235,0.22715000000000002,0.22095,0.19615000000000002,0.2248,0.21895,0.31355,0.1649
Mappatura_2020.5325,Mappatura_2020,03108019,388.2,42,20260512_101812_73_2553_3B,0.18050000000000002,0.22855,0.2526,0.2529,0.2461,0.26905,0.2519,0.2747,0.0104
Mappatura_2020.5326,Mappatura_2020,03108019,67.7,7,20260512_101812_73_2553_3B,0.161,0.23190000000000002,0.25620000000000004,0.2421,0.2233,0.2609,0.2414,0.3108,0.0873
Mappatura_2020.5328,Mappatura_2020,03108019,4654.5,518,20260512_101812_73_2553_3B,0.1187,0.1383,0.16190000000000002,0.169,0.17785,0.1869,0.1981,0.2569,0.1577
Mappatura_2020.5329,Mappatura_2020,03108019,207.7,24,20260512_101812_73_2553_3B,0.09125,0.10590000000000001,0.1211,0.12355000000000001,0.1337,0.13715,0.15115,0.23775000000000002,0.2683
Mappatura_2020.5330,Mappatura_2020,03108019,38.6,5,20260512_101812_73_2553_3B,0.066,0.0784,0.09430000000000001,0.1038,0.1066,0.10840000000000001,0.1359,0.2093,0.3176
